*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_PIIO_v1_0
*Date=11:00:53
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
454;;;47.0622;-97.1867;0;Bottom;TXT1
455;;;77.8504;-8.91263;-90;Bottom;TXT2
456;;;20.9272;-89.2804;0;Bottom;IMG16
457;;;70.0405;-6.274;0;Bottom;Copper Fill173
458;;;13.4493;-2.21;0;Bottom;Copper Fill111
459;;;5.81801;-85.4962;0;Bottom;TXT1
460;;THT;117.397;-58.4075;180;Bottom;UART264
461;;;119.443;-38.0845;-90;Bottom;TXT2
462;;;113.233;-78.4735;0;Bottom;Copper Fill166
463;;;97.0153;-91.4148;0;Bottom;Copper Fill93
464;;;96.139;-22.403;0;Bottom;Copper Fill227
465;;;97.2955;-59.2049;0;Bottom;TXT1
466;;;22.352;-40.6783;0;Bottom;Copper Fill302
