*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_IO_v1_0
*Date=09:59:53
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
438;;;119.05;-75.6795;0;Bottom;Copper Fill202
439;;;105.55;-40.3354;0;Bottom;Copper Fill68
440;;;74.5009;-44.7435;0;Bottom;TXT2
441;;;50.9705;-65.1458;0;Bottom;Hole110
442;;;37.723;-61.8801;-90;Bottom;TXT2
443;;;14.6789;-61.0242;90;Bottom;TXT2
444;;;75.8581;-15.4469;0;Bottom;TXT1
445;;;67.6114;-98.5543;0;Bottom;Pad46
446;;;26.9371;-46.1868;-90;Bottom;TXT2
447;;;31.8565;-92.6055;0;Bottom;TXT1
448;;;13.1672;-22.2154;0;Bottom;TXT2
449;;;91.9992;-9.86052;0;Bottom;TXT1
450;;;115.71;-35.5094;0;Bottom;Copper Fill195
451;;;31.3637;-81.3778;0;Bottom;TXT2
452;;;24.4856;-20.1043;0;Bottom;Copper Fill43
453;;;63.092;-15.441;0;Bottom;TXT1
454;;;108.282;-82.0636;0;Bottom;TXT1
455;;;45.9317;-8.63053;0;Bottom;Via174
456;;;51.6001;-10.1348;0;Bottom;Copper Fill62
457;;;37.7369;-28.1974;0;Bottom;TXT1
458;;;107.531;-43.739;0;Bottom;Copper Fill144
459;;;30.8028;-45.5029;-90;Bottom;TXT1
460;;;112.509;-2.9466;0;Bottom;Copper Fill204
461;;;86.7572;-81.9553;0;Bottom;TXT1
462;;;64.9501;-17.5065;0;Bottom;TXT2
463;;;12.5942;-72.7655;0;Bottom;Via264
464;;;95.4148;-14.3458;0;Bottom;TXT2
465;;;69.3928;-78.4735;0;Bottom;Copper Fill7
466;;;51.9351;-84.9276;-90;Bottom;TXT1
467;;;109.809;-49.6396;0;Bottom;TXT1
468;;;51.489;-60.3519;-90;Bottom;TXT2
469;;;52.2134;-1.24784;0;Bottom;TXT2
470;;;48.9891;-94.4496;0;Bottom;Hole129
471;;;115.049;-2.9466;0;Bottom;Copper Fill208
472;;;57.9501;-51.4352;0;Bottom;Copper Fill82
473;;;3.98303;-90.2069;90;Bottom;TXT2
474;;;59.9828;-27.9425;-90;Bottom;TXT1
